Index,ExplicitWord,Frequency
0,ass,6
1,asses,1
2,auto,1
3,big,14
4,big,14
5,big,14
6,big,14
7,blonde,2
8,blonde,2
9,blonde,2
10,load,2
11,blue,1
12,call,7
13,bullshit,1
14,bum,1
15,hole,3
16,bunny,1
17,butt,1
18,toe,2
19,clover,1
20,cunt,2
21,damn,5
22,date,1
23,rape,1
24,deep,6
25,throat,2
26,sanchez,1
27,dog,5
28,punch,2
29,double,2
30,double,2
31,ass,6
32,foot,2
33,gang,1
34,bang,9
35,top,4
36,god,2
37,damn,5
38,goo,13
39,group,1
40,hand,19
41,hard,4
42,core,1
43,hell,1
44,hoe,2
45,hore,1
46,carl,1
47,how,84
48,kill,2
49,how,84
50,fat,10
51,jerk,1
52,kum,1
53,mother,7
54,hands,6
55,nig,4
56,nigga,1
57,nob,2
58,nob,2
59,guy,6
60,jar,2
61,phone,2
62,phuck,1
63,shit,3
64,pis,7
65,poo,1
66,prince,1
67,rape,1
68,reverse,1
69,shit,3
70,suck,3
71,sucks,3
72,tard,2
73,taste,1
74,testicle,1
75,tit,8
76,tongue,1
77,tub,2
78,wang,1
79,power,1
80,xxx,4
