,VideoIndex,CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At,Is_Sarcastic
0,1,Ugxm69Bhl1x0Lk-szpd4AaABAg,@CreepyEnderPig,it's redeemed zoomer,0,0,2023-10-27T18:32:34Z,Not Sarcasm
1,1,UgzIlwNu6KbpL-NN5QB4AaABAg,@pds5971,It explains how all Sheldon's wired quirks began,0,0,2023-10-21T18:41:47Z,Not Sarcasm
2,1,UgxTxaRSLUYZLb4lzNt4AaABAg,@Inigo_The_Son,"This spin-off was great for a year or two.  Unfortunately, young Sheldon did not age into a likeable character.  That is always the risk you take when selecting child actors.",0,0,2023-09-29T04:33:00Z,Not Sarcasm
3,1,Ugy2zr1ctmIm4el54194AaABAg,@ronsindric4241,"Good Stuff.  If there was YOUNG SHELDON, and BIG BANG SHELDON, why not OLDE FAERTE SHELDON ?  What if there was a mini-series SHELDON AND HIS FRIEND ALF ?",1,0,2023-06-14T22:19:26Z,Not Sarcasm
4,1,UgxPxCzdv_ggflNfnXF4AaABAg,@ajayveersingh687,❤,1,0,2023-06-14T07:43:17Z,Not Sarcasm
5,1,UgzF6xObffHC1hPYQkF4AaABAg,@abidhossain6564,Sheldon and Mary Cooper is favourite character ❤,1,0,2023-06-14T05:05:18Z,Not Sarcasm
6,1,UgwH_kfOcyAG4W_pLoZ4AaABAg,@trendydwarf3747,Did he really invent the landing of the rocket,1,0,2023-06-06T18:10:46Z,Not Sarcasm
7,1,UgwbUBEmgykhZ7fW2Fx4AaABAg,@jatinyogesh3926,Why is it so that we are smart and we doubt people no one deserves attention,1,0,2023-05-11T17:37:38Z,Not Sarcasm
8,1,UgyD3NNWk56cHH-_dIx4AaABAg,@matthewobrien4639,Even from day one this was such a good show.,1,0,2023-01-02T02:27:49Z,Not Sarcasm
9,1,UgyrYN5r9eT6gui2aSB4AaABAg,@Akiras_videos,He has the voice of o from the movie home,1,0,2022-12-31T19:25:23Z,Sarcasm
10,1,UgxBplQG9GUko3VI21V4AaABAg,@TevitaTmila,Sheldon was so cute in season 1,3,0,2022-12-04T08:42:05Z,Not Sarcasm
11,1,UgxCd7aYRsuvPOPHSZJ4AaABAg,@rocketmom60,Sheldon was a total brat who was spoiled rotten by his mother to the neglect of her other children.,2,0,2022-08-27T23:35:33Z,Sarcasm
12,1,UgyevaC0TnMzKCDo96Z4AaABAg,@wendypulido9485,Can someone please tell me if that sheldon from young Sheldon has Asperger? I really hope he doesn’t,1,0,2022-07-25T02:29:23Z,Not Sarcasm
13,1,Ugxs1o_647LlzlA-25x4AaABAg,@christopherpetralia7585,Your father was first specimen accurate giggle.,2,0,2022-07-14T22:11:39Z,Not Sarcasm
14,1,UgzLAxBJshEy1TXxRVt4AaABAg,@melinaflores6783,"This show is so damn good, I think it is my favourite show. I just finished season 5 and I handt noticed how much hes grown up! He looks like a baby here, so cute",1,0,2022-06-16T19:27:43Z,Not Sarcasm
15,1,Ugzhdbjm8d1cEOSWZ2x4AaABAg,@phannah143,I love this show so much! Please have more seasons! This show is therapeutic!,8,1,2022-06-10T01:03:25Z,Not Sarcasm
16,1,UgzWlqSo0Cku8vN3WY54AaABAg,@checkm8rr,That moment were he wore a mask and everyone said it was weird. That really back fired,2,0,2022-05-16T21:06:46Z,Not Sarcasm
17,1,UgxS_qzFPRnEfHVHQix4AaABAg,@macygould3194,I really love this show. 🥰🥰🥰,2,0,2022-04-29T17:18:22Z,Not Sarcasm
