VideoIndex,CommentID,UserID,Comment,Number_of_Likes,Number_of_Replies,Updated_At
2,UgwbW9mYMsCnk608Ifd4AaABAg,@jenniferskorczewski3573,I can't help it! Operation? I have had two splinters in my life from metal! Can you imagine if it was a metal shard!,0,0,2023-12-05T00:06:01Z
2,UgwBX2RLmot2zIM8ush4AaABAg,@moniquebailey5514,Can  you  visit  me  in Jamaica 🇯🇲,0,0,2023-12-04T00:45:56Z
2,UgxPniEbDZTiN9twkGF4AaABAg,@mingming7078,Sheldon got a splinter :nooooooooooooo😱😱😱😱,1,0,2023-12-03T07:16:28Z
2,UgxXkdo8L5GuFzJvMUB4AaABAg,@SofiRdiz,1:00 1:13,0,0,2023-11-24T21:22:41Z
2,UgzxhYyGiC8YlD7SJ3V4AaABAg,@Rose11133,"Personally hearing everyone talk about the annoying pain of splinters I was so confused as a kid because I never knew what it was and know that I’m older I realize I’m so lucky to have never experienced paper cuts, splinters, and brain freezes.",3,0,2023-11-18T12:34:52Z
2,Ugxl8BpymvLaQKrbhSF4AaABAg,@Caotaki,"Me personally, I never in my life had a splinter",0,0,2023-11-13T21:12:18Z
2,UgyT-AF0j5x7Ob14heZ4AaABAg,@KrazyDragonz,erohr,0,0,2023-11-02T01:18:10Z
2,UgzVl5e2TBtadIWvjWx4AaABAg,@brennanpeoples2089,""" whats gowze"" * ""it's gauze"" * damn sheldon",0,0,2023-11-01T22:36:23Z
2,UgwDWIbxnZh8tBB9etZ4AaABAg,@bareh__07,They are so cute such a beautiful movie.,1,0,2023-10-13T16:28:06Z
2,Ugx9O8MmvCJ61olhwnZ4AaABAg,@Victoriastroud-yr3bh,Missy is only naughty cause her name,0,0,2023-10-09T19:41:25Z
2,Ugw-JNbfRJ_18Q02_ll4AaABAg,@AndyMazuma-bq7uc,I feel bad,0,0,2023-10-09T17:59:59Z
2,UgyoL86abp64G51iFOV4AaABAg,@spam41306,The Scream that Young Sheldon made😂😂😂😂😂,4,0,2023-09-22T17:00:34Z
2,Ugyz6KneCiOMqlCBd1h4AaABAg,@user-wl7tb3fi4f,I GOT A SPLINTER 😂😂😊,2,0,2023-09-20T00:13:07Z
2,UgwKmcix50ka4sQKPGV4AaABAg,@jwood8397,My mom would put bread that had been soaked in milk over the splinter over night and it’d be in the bread in the morning. I threw a fit if they tried to use tweezers.,3,0,2023-09-10T03:05:26Z
2,UgxQ3BNazR3JPbJ-jlN4AaABAg,@danielhainline8882,He could wait for his body to reject the splinter.  We shed our skin and the shed skin can take the splinter with it.,0,0,2023-08-24T18:48:15Z
2,Ugwg5UM4MHzntQ__5xl4AaABAg,@AchumilePeter,"Love your videos
Have the best day ever ❤",1,0,2023-08-20T13:44:53Z
2,UgzAvfoL6E5hjR3wcIF4AaABAg,@clm0208,What movie is Missy watching? The guy seems to have upper body naked? 👀,0,0,2023-08-14T07:33:22Z
2,Ugx33E8nNDbEVNWNTKd4AaABAg,@georgeelder3042,Why do I feel like missy is smarter than sheldon,1,0,2023-08-10T14:07:27Z
2,UgzAb7YwrEkdO74fJyx4AaABAg,@mumtaheentasnimaprokrity1011,"Ok missy was great and fun and most of the times I liked her more than sheldon.but since she started middle school,she became all disobedient,gave her parents shit and became selfish.like stealing your dad's truck isn't what you do to get on your parents good side.so DUMB",0,0,2023-08-01T17:28:08Z
2,UgwB61KdDxy25_ar2X14AaABAg,@kingsleyisaac819,Missy is a Legend,2,0,2023-07-24T20:26:50Z
2,UgzlTxUCTmxtN1NDngN4AaABAg,@na-ra8701,Please tell me where can I watch sheldon series ?,0,2,2023-07-18T16:51:04Z
2,UgzmL_00oIR0t8HGAEd4AaABAg,@zoeberesford9358,Everyone has splinter.,0,1,2023-07-16T07:54:14Z
2,UgyKs1taYgVKU86TlqR4AaABAg,@mohammedyahya4163,and sometimes her mustach 😂😂,1,0,2023-07-13T08:26:11Z
2,UgzTxnkOtB1PzdcsBjR4AaABAg,@klaudiastulajterova7995,2:58 a 2:59😂😂😂😂😂,2,0,2023-07-09T11:22:12Z
2,UgxELN96cB-O2LgZqhR4AaABAg,@klaudiastulajterova7995,2:19 a 2:20😂😂😂😂😂😂😂😂,1,0,2023-07-09T11:20:27Z
2,UgyQEOWAaSBuQ9XZGKl4AaABAg,@msharma5069,"Young sheldon slowly became more lovely than TBBT, the minute observance of director is amazing for a childhood depiction, they even put splinter in script😘🥰❤️",3,0,2023-07-07T16:49:47Z
2,Ugzir9m4nnMpH5WVV7h4AaABAg,@Queen_Springsteen,He’s so dramatic 😂,5,0,2023-06-29T14:23:23Z
2,Ugwiln6tmKleRbjrM154AaABAg,@NondumisoNkosi-mf8rv,Chdhdhfhg,0,0,2023-06-25T17:24:48Z
2,UgzhLf1Uhj9KIvELU-p4AaABAg,@saranox6332,Kids fear them...As an adult I still fear them XD!,11,0,2023-06-10T01:17:28Z
2,UgxnflET4jtOtW8B3694AaABAg,@samojolbo7907,how is he so anoying why didnt they just beat him?,0,0,2023-06-08T04:14:28Z
2,UgzOCmcOUSVpPrudtod4AaABAg,@wiamzemani,2:29 I love her 😂😂,21,1,2023-06-04T20:36:01Z
2,Ugz2uJrnDRNBFX0qIch4AaABAg,@Growgreen,"I’m okay with splinters but the one that I got so scared and cried from was a splinter in my nail and it was deep so when it slide my finger on something, it sometimes hurts because it’s moving and when my mom tried to take it out it kept on hurting and told my mom to bring me to the hospital",1,0,2023-05-29T20:39:36Z
2,Ugx7t9WyrEU5wnaKj9p4AaABAg,@Mariobros2825,Sheldon the goodie to shoes,1,0,2023-05-29T16:24:10Z
2,UgzWb_3qMNQpPTytt6p4AaABAg,@stevenmarossy9064,Assewd sfsfdtedfddddswdds 2:02,0,0,2023-05-14T07:07:06Z
2,UgyTu8plRcwwH2TxDD94AaABAg,@daisyrammutle2572,"Missy: ""what's gauze?""
Sheldon: "" it's gauze and the fact that you don't know that it's not filling me with hope "".
Me:😳😂😂😂",25,0,2023-05-07T12:32:59Z
2,Ugwn5MAxWj32zXvZnJJ4AaABAg,@daisyrammutle2572,"Sheldon: ""I handled that really welled""
Me: 😂😂😂",10,0,2023-05-07T12:31:02Z
2,UgzguA2l1dOAV-hZdwV4AaABAg,@willmehaffy7226,Hi,0,0,2023-04-26T20:21:39Z
2,UgztFpdrHDTgOoLtZE14AaABAg,@Natehillsdaughter,"""I love you and miss you very much""




....


*Ok*
Has me dying bro 😭😭😭",6,0,2023-04-12T00:26:53Z
